CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
TOTAL DONE,0,0,0,0,0,0,0,0
sps4_200202_001,1,1,1,1,1,0,0,0
sps4_200202_002,1,1,1,1,1,0,0,0
sps4_200202_003,1,1,1,1,1,0,0,0
sps4_200202_004,1,1,1,1,1,0,0,0
sps4_200202_005,1,1,1,1,1,0,0,0
sps4_200202_006,1,1,1,1,1,0,0,0
sps4_200202_007,1,1,1,1,1,0,0,0
sps4_200202_008,1,1,1,1,1,0,0,0
sps4_200202_009,1,1,1,1,1,0,0,0
sps4_200202_010,1,1,1,1,1,0,0,0
sps4_200202_011,1,1,1,1,1,0,0,0
sps4_200202_012,1,1,1,1,1,0,0,0
sps4_200202_013,1,1,1,1,1,0,0,0
sps4_200202_014,1,1,1,1,1,0,0,0
sps4_200202_015,1,1,1,1,1,0,0,0
sps4_200202_016,1,1,1,1,1,0,0,0
sps4_200202_017,1,1,1,1,1,0,0,0
sps4_200202_018,1,1,1,1,1,0,0,0
sps4_200202_019,1,1,1,1,1,0,0,0
sps4_200202_020,1,1,1,1,1,0,0,0
sps4_200202_021,1,1,1,1,1,0,0,0
sps4_200202_022,1,1,1,1,1,0,0,0
sps4_200202_023,1,1,1,1,1,0,0,0
sps4_200202_024,1,1,1,1,1,0,0,0
sps4_200202_025,0,0,0,0,0,0,0,0
sps4_200302_001,1,1,1,1,1,0,0,0
sps4_200302_002,1,0,0,0,0,0,0,0
sps4_200302_003,1,0,0,0,0,0,0,0
sps4_200302_004,1,1,0,0,0,0,0,0
sps4_200302_005,1,0,0,0,0,0,0,0
sps4_200302_006,1,0,0,0,0,0,0,0
sps4_200302_007,1,0,0,0,0,0,0,0
sps4_200302_008,1,1,0,0,0,0,0,0
sps4_200302_009,1,1,0,0,0,0,0,0
sps4_200302_010,1,1,0,0,0,0,0,0
sps4_200302_011,1,1,0,0,0,0,0,0
sps4_200302_012,1,1,0,0,0,0,0,0
sps4_200302_013,1,1,0,0,0,0,0,0
sps4_200302_014,1,1,0,0,0,0,0,0
sps4_200302_015,1,1,0,0,0,0,0,0
sps4_200302_016,1,1,0,0,0,0,0,0
